,seq,ni,no1,no2,F1_emp,F2_emp,F1_model
31,"(0, 0, 0, 0, 0, 1, 1, 1, 1, 1)",1157,562,404,0.0813685285868303,0.09796408902342124,0.94172215
32,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 0)",40,7,7,-0.8315919664443914,-0.48560384497464915,-0.17137831
33,"(0, 0, 0, 0, 1, 0, 0, 0, 0, 1)",36,26,18,0.487457511940185,0.4820477465720385,0.20187715
34,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 0)",113,24,21,-0.7147840649462145,-0.496629314986357,-0.43985415
35,"(0, 0, 0, 0, 1, 0, 0, 0, 1, 1)",48,31,30,0.37645416326918024,0.6906935864243423,-0.13842547
36,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",125,29,10,-0.6325459667092423,-1.2898599541032847,-0.48824084
37,"(0, 0, 0, 0, 1, 0, 0, 1, 0, 1)",54,13,17,-0.5657372970371319,0.0315652527135164,-0.20763439
38,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 0)",100,16,6,-0.9793686142049629,-1.5206836877361236,-0.6535679
39,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",71,28,5,-0.1068317304495009,-1.3363799697381777,-0.4660642
40,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",62,42,31,0.42060394788211014,0.47112785645801647,1.2558229
41,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",36,90,67,1.702480152452706,1.7571164725817048,1.2824641
42,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",38,21,29,0.23001936580874982,0.8861624155823316,1.2099035
43,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",29,38,53,1.0649028230475714,1.7363133449519417,1.2592268
44,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",75,95,73,1.0361534097615854,1.1218584329676613,1.1952507
45,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",33,53,41,1.2651620805281933,1.3598357737170295,1.2517033
46,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",20,21,27,0.8490585742149733,1.4362087525016034,1.1016676
47,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",26,40,21,1.2202737592800592,0.9437322674038093,1.2023726
48,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",74,18,5,-0.5705105757897895,-1.377201964258433,-0.7837299
49,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",111,43,47,-0.13177067879675297,0.30122881966261894,-0.69721234
50,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",61,67,10,0.8949118787110955,-0.5807124321968984,-0.82564104
51,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",63,26,4,-0.06050765877526243,-1.4009184908757488,-0.7776538
52,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",131,34,17,-0.5249153025168769,-0.8439034846403837,-0.8320061
53,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",109,28,23,-0.5306459772258618,-0.373899855394648,-0.790148
54,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",99,27,22,-0.47042711723280695,-0.32114929000911907,-0.85162103
55,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",97,15,14,-1.0098401978507103,-0.7283905975185392,-0.8291272
56,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",75,53,27,0.4607892648580237,0.14999784993869536,0.8398494
57,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",47,57,37,0.9917805582186088,0.9149118288683173,1.0514351
58,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",43,51,47,0.9695926432432467,1.2355380570394523,0.5589988
59,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",32,51,25,1.2572747156950275,0.9101156566048244,0.8645233
60,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",136,81,20,0.28927688001620866,-0.7269318080548792,0.48581493
61,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",103,27,32,-0.5096478303860883,0.0006433423749301337,0.81080675
62,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",53,24,14,0.03243033688400676,-0.13240716541224162,0.13777187
63,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",48,41,22,0.648387878752822,0.3922005978683457,0.520556
64,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",544,396,252,0.4856890446040267,0.3811303741140988,0.68129325
65,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",466,659,362,1.1484491359316542,0.896600256645776,0.94946134
66,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",386,259,114,0.4047954965658263,-0.06496588461670916,0.35813013
67,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",235,286,172,0.9981889693140915,0.8379864695219916,0.7114057
68,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",647,589,345,0.7087703991275709,0.5210747587552722,0.27942255
69,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",598,634,428,0.8609019593573226,0.8147220008623903,0.64622307
70,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",606,180,135,-0.4074932012135921,-0.3473472252736236,-0.067546904
71,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",433,409,300,0.745651184178029,0.7825924106982936,0.31651896
72,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",347,584,377,1.3219479260374625,1.231218395894936,1.2982247
73,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",424,637,538,1.2087876730004534,1.386153082034403,1.3034761
74,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",291,420,370,1.16841758999418,1.387974940388976,1.2889209
75,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",271,353,297,1.0660334054178575,1.23981810025923,1.2989016
76,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",604,1081,761,1.3838765599556657,1.3792447777056274,1.2858825
77,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",541,840,674,1.2418642171133822,1.367973369482706,1.2974033
78,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",451,726,556,1.2777828562813687,1.3574097401448755,1.2656341
79,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",418,615,444,1.1879146021914626,1.208730042293925,1.2873634
80,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",656,162,101,-0.5913952590977678,-0.7141845251505168,-0.4738512
81,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",576,308,203,0.17803756896972633,0.10880440738593955,-0.1867708
82,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",544,135,66,-0.5855923503471117,-0.9475664952224552,-0.64456606
83,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",529,189,114,-0.2233143758056011,-0.37941819813309485,-0.45104122
84,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",1161,359,164,-0.36925534738162047,-0.8034257834614533,-0.67273533
85,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",914,275,133,-0.3959846409782908,-0.7725575852747872,-0.49844754
86,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",758,166,122,-0.7114694063987945,-0.6712907419733898,-0.7637328
87,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",640,145,51,-0.6768842766322531,-1.3632590582894202,-0.65991545
88,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",685,616,357,0.696529954759583,0.4981820387246376,1.1999563
89,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",545,930,543,1.3361788601122424,1.1448569511608602,1.2541252
90,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",373,441,281,0.9695926432432467,0.8661779535734042,1.1098883
91,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",288,440,259,1.2251567459144943,1.042781622952918,1.2067969
92,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",837,1018,577,0.9980974913207221,0.7770824482401171,1.0819886
93,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",799,726,414,0.7068533084456724,0.4921934726125937,1.191708
94,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",642,825,517,1.0529886078634392,0.9323571980716863,0.9127241
95,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",483,587,289,0.9971805997620755,0.6363226963137106,1.0954992
96,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",54,16,19,-0.3715812825961744,0.13692576837134274,0.15166369
97,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",44,61,67,1.1230104538548522,1.5613718954556095,0.53338706
98,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",16,5,4,-0.2389153162480806,-0.07524875157229305,-0.18266904
99,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 1)",17,27,16,1.2443713108591197,1.091368266209874,0.1888932
100,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 0)",82,35,28,-0.03278311076040752,0.09698190223969871,-0.24950892
101,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 1)",48,16,27,-0.25606839547433013,0.5889108921143998,0.10981062
102,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0)",51,14,14,-0.4406549588991371,-0.09466683742939486,-0.4957372
103,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 1)",57,31,18,0.2078314508333876,0.03252264866984378,-0.21860015
104,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",22,80,69,2.0614934973233696,2.261527706170032,1.2799816
105,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 1)",53,69,54,1.062049754065165,1.1668758187180193,1.2944875
106,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0)",22,113,102,2.403242791045426,2.647761452350309,1.2545848
107,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 1)",28,27,24,0.7674472387688103,1.0001066749315493,1.2818441
108,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 0)",78,48,49,0.32491100422368546,0.6911018330109473,1.2463734
109,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 1)",16,20,6,1.0138476522472875,0.2612234850489198,1.2777237
110,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 0)",12,16,7,1.0708025451747598,0.6630188642681218,1.1926663
111,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 1)",11,37,12,1.9552180685184657,1.228569387723359,1.250371
112,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 0)",53,18,5,-0.24200650881775343,-1.048697897286397,-0.711588
113,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 1)",104,30,14,-0.41743458709229664,-0.7973834690054908,-0.56578624
114,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 0)",41,8,5,-0.7379064823670687,-0.7973834690054908,-0.7857578
115,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 1)",93,27,14,-0.40855171351471964,-0.6867179011179712,-0.701033
116,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 0)",77,19,6,-0.5584379945555205,-1.2622719975844556,-0.79723465
117,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 1)",31,28,40,0.7040984857668279,1.3963628439544038,-0.7227912
118,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 0)",42,5,12,-1.166902087885427,-0.047724078182203034,-0.8329649
119,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 1)",52,25,1,0.09034318304944056,-2.128618052942354,-0.79203665
120,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 0)",42,48,32,0.9331587409971446,0.8838341258227405,1.029779
121,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 1)",48,51,23,0.8619619790508812,0.43476021228714157,1.1629043
122,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 0)",20,8,6,-0.044759301807123286,0.04991439138171283,0.8310274
123,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 1)",24,46,39,1.433810335421938,1.6185303092955583,1.0459855
124,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 0)",71,70,37,0.7885523166053405,0.5094467207601531,0.77450335
125,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 1)",82,57,30,0.44414096132990183,0.16367327673837084,1.0104587
126,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 0)",52,47,18,0.7034476559358495,0.12267374566414113,0.47357583
127,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 1)",28,13,15,0.07430005820886498,0.5538195723031298,0.8015997
128,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",1340,743,544,0.21340871013149387,0.24814159143138814,0.43302962
129,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 1)",1172,1228,748,0.8491748194926398,0.6999458149135667,0.7706225
130,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0)",766,293,197,-0.1563684754484942,-0.2056930906228982,0.08279151
131,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 1)",805,897,488,0.9106248843756517,0.6488054270180663,0.46862254
132,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0)",1754,1269,777,0.47908660213275117,0.3350290683282481,0.005406618
133,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 1)",1677,1526,955,0.7082409767715614,0.5859267060740724,0.39225823
134,"(0, 0, 1, 0, 0, 0, 0, 1, 1, 0)",1339,463,324,-0.25800178213862135,-0.2680730305653969,-0.30468273
135,"(0, 0, 1, 0, 0, 0, 0, 1, 1, 1)",1109,670,476,0.2991924012453824,0.303927876631784,0.04152596
136,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0)",1170,1863,1138,1.2674051902278995,1.1208192798992875,1.2914791
137,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 1)",949,1345,1046,1.150969084190167,1.245748906325773,1.3001614
138,"(0, 0, 1, 0, 0, 0, 1, 0, 1, 0)",741,1140,759,1.2328496652747756,1.172495870162819,1.2761638
139,"(0, 0, 1, 0, 0, 0, 1, 0, 1, 1)",575,808,488,1.1422298149426808,0.9847815088288034,1.2925966
140,"(0, 0, 1, 0, 0, 0, 1, 1, 0, 0)",1773,2236,1692,1.034437357200685,1.101791899313433,1.2711807
141,"(0, 0, 1, 0, 0, 0, 1, 1, 0, 1)",1287,1688,1120,1.0735845687235814,1.0096571964576835,1.2901232
142,"(0, 0, 1, 0, 0, 0, 1, 1, 1, 0)",1012,1703,1323,1.322600761720658,1.4162679122980926,1.2382047
143,"(0, 0, 1, 0, 0, 0, 1, 1, 1, 1)",936,1164,863,1.0203316423414592,1.067416166615456,1.2736084
144,"(0, 0, 1, 0, 0, 1, 0, 0, 0, 0)",1986,519,324,-0.5380138723962635,-0.6620293801722568,-0.6139908
145,"(0, 0, 1, 0, 0, 1, 0, 0, 0, 1)",1609,616,412,-0.15658187549304037,-0.21201518496765326,-0.400877
146,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 0)",1393,301,186,-0.7269670153655192,-0.8602972944160601,-0.72967815
147,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 1)",1132,318,212,-0.46489459966308133,-0.5228054152687587,-0.5979421
148,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 0)",2972,734,492,-0.5949177652051807,-0.6482909689055851,-0.7480488
149,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 1)",2554,575,386,-0.6871612833618332,-0.7388561295582003,-0.6311356
150,"(0, 0, 1, 0, 0, 1, 0, 1, 1, 0)",2061,459,264,-0.6976666165136842,-0.9031751585408605,-0.80607665
151,"(0, 0, 1, 0, 0, 1, 0, 1, 1, 1)",1624,366,230,-0.6853626881291872,-0.8023187041922217,-0.7397127
152,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 0)",1731,1439,904,0.6179048620277463,0.4994295346273684,1.1339389
153,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 1)",1339,1456,842,0.8862484718303282,0.685068745106721,1.2196388
154,"(0, 0, 1, 0, 0, 1, 1, 0, 1, 0)",1080,1009,588,0.7346023507761772,0.5413110460622009,0.9973159
155,"(0, 0, 1, 0, 0, 1, 1, 0, 1, 1)",1092,1098,594,0.8080130248071632,0.5404065974189137,1.1446106
156,"(0, 0, 1, 0, 0, 1, 1, 1, 0, 0)",2193,2205,1177,0.8079931175583526,0.5266184034261792,0.95641094
157,"(0, 0, 1, 0, 0, 1, 1, 1, 0, 1)",1825,1169,766,0.3574145252169684,0.28113042026216495,1.1211276
158,"(0, 0, 1, 0, 0, 1, 1, 1, 1, 0)",1716,1130,670,0.38506217379872537,0.2089619561240289,0.72147906
159,"(0, 0, 1, 0, 0, 1, 1, 1, 1, 1)",1388,867,500,0.33239093048608676,0.12879343838034374,0.9761384
160,"(0, 0, 1, 0, 1, 0, 0, 0, 0, 0)",175,63,37,-0.2090623530983995,-0.3843711552619433,-0.114387274
161,"(0, 0, 1, 0, 1, 0, 0, 0, 0, 1)",104,80,34,0.5430273630949958,0.04991439138171283,0.26583928
162,"(0, 0, 1, 0, 1, 0, 0, 0, 1, 0)",123,22,29,-0.8822487910958068,-0.27055750389305877,-0.39764732
163,"(0, 0, 1, 0, 1, 0, 0, 0, 1, 1)",42,18,12,-0.014222577947041515,-0.047724078182203034,-0.08019358
164,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 0)",155,40,22,-0.5337453819651488,-0.7658351112705648,-0.44960105
165,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 1)",166,39,49,-0.6265757997227384,-0.05744412693878642,-0.15215158
166,"(0, 0, 1, 0, 1, 0, 0, 1, 1, 0)",104,29,14,-0.45022440991528767,-0.7973834690054908,-0.6292542
167,"(0, 0, 1, 0, 1, 0, 0, 1, 1, 1)",88,14,7,-0.9780476100498494,-1.2606681480024813,-0.4257549
168,"(0, 0, 1, 0, 1, 0, 1, 0, 0, 0)",73,83,94,0.9292902642192242,1.3983384784461936,1.2615292
169,"(0, 0, 1, 0, 1, 0, 1, 0, 0, 1)",88,100,51,0.9290227056892001,0.6111340288991101,1.2853167
170,"(0, 0, 1, 0, 1, 0, 1, 0, 1, 0)",90,72,32,0.5821384932116216,0.13417473499945287,1.2203777
171,"(0, 0, 1, 0, 1, 0, 1, 0, 1, 1)",42,56,24,1.084389710721068,0.606202389224461,1.2645719
172,"(0, 0, 1, 0, 1, 0, 1, 1, 0, 0)",132,215,139,1.2874678380424915,1.1998199744373732,1.2072055
173,"(0, 0, 1, 0, 1, 0, 1, 1, 0, 1)",57,92,66,1.274695041186917,1.2927762888943692,1.2578454
174,"(0, 0, 1, 0, 1, 0, 1, 1, 1, 0)",125,222,111,1.373428423088721,1.030743644393439,1.1226128
175,"(0, 0, 1, 0, 1, 0, 1, 1, 1, 1)",36,44,20,0.9982831357061757,0.5821312051290212,1.21361
176,"(0, 0, 1, 0, 1, 1, 0, 0, 0, 0)",119,56,29,0.05809808363258451,-0.23776768107006796,-0.77306736
177,"(0, 0, 1, 0, 1, 1, 0, 0, 0, 1)",73,36,25,0.1093913780201351,0.102558124867135,-0.6772404
178,"(0, 0, 1, 0, 1, 1, 0, 0, 1, 0)",131,19,18,-1.0845310904522993,-0.7898362633701077,-0.8198273
179,"(0, 0, 1, 0, 1, 1, 0, 0, 1, 1)",111,32,8,-0.419452751248534,-1.3727476139090524,-0.76630676
180,"(0, 0, 1, 0, 1, 1, 0, 1, 0, 0)",238,64,40,-0.49953772345579317,-0.6143648051773802,-0.82694817
181,"(0, 0, 1, 0, 1, 1, 0, 1, 0, 1)",171,59,24,-0.25061135601127194,-0.7800919718954296,-0.7802137
182,"(0, 0, 1, 0, 1, 1, 0, 1, 1, 0)",163,29,39,-0.8961304875819627,-0.26246029366043944,-0.84892523
183,"(0, 0, 1, 0, 1, 1, 0, 1, 1, 1)",135,40,16,-0.3965442604516638,-0.9309148616300131,-0.823727
184,"(0, 0, 1, 0, 1, 1, 1, 0, 0, 0)",141,167,68,0.9706754803820785,0.4268061270458213,0.8815765
185,"(0, 0, 1, 0, 1, 1, 1, 0, 0, 1)",192,137,87,0.4671020548323995,0.36317330562314354,1.0768704
186,"(0, 0, 1, 0, 1, 1, 1, 0, 1, 0)",86,85,50,0.7909777361790045,0.6144441941195646,0.615619
187,"(0, 0, 1, 0, 1, 1, 1, 0, 1, 1)",26,65,27,1.6963564346021769,1.1848943242206973,0.9045714
188,"(0, 0, 1, 0, 1, 1, 1, 1, 0, 0)",195,83,68,-0.044759301807123286,0.10451852541656481,0.54501706
189,"(0, 0, 1, 0, 1, 1, 1, 1, 0, 1)",187,85,58,0.02044389200363894,-0.01037783887440713,0.8544344
190,"(0, 0, 1, 0, 1, 1, 1, 1, 1, 0)",123,106,58,0.6550858274369498,0.40578255835050525,0.20162547
191,"(0, 0, 1, 0, 1, 1, 1, 1, 1, 1)",143,67,38,0.052232964180186414,-0.15772497339653158,0.5786006
192,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 0)",831,846,455,0.8204068124109263,0.5471870487430002,0.7323905
193,"(0, 0, 1, 1, 0, 0, 0, 0, 0, 1)",720,887,504,1.0108711642873014,0.7924459720402334,0.9832816
194,"(0, 0, 1, 1, 0, 0, 0, 0, 1, 0)",623,550,347,0.6781229993635671,0.5645787914548693,0.42051828
195,"(0, 0, 1, 1, 0, 0, 0, 0, 1, 1)",583,885,411,1.2193545263569343,0.799649046571122,0.7609136
196,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 0)",1144,1320,705,0.9455229471140658,0.6649820015547245,0.34292692
197,"(0, 0, 1, 1, 0, 0, 0, 1, 0, 1)",989,1059,661,0.8708578025575576,0.7460872928581952,0.69905734
198,"(0, 0, 1, 1, 0, 0, 0, 1, 1, 0)",912,719,398,0.5650538899952129,0.3207522163447176,-0.0070625544
199,"(0, 0, 1, 1, 0, 0, 0, 1, 1, 1)",595,569,344,0.7579342523433265,0.6018304300158326,0.37957853
200,"(0, 0, 1, 1, 0, 0, 1, 0, 0, 0)",747,1133,770,1.2186420648933005,1.1788120756386748,1.2993585
201,"(0, 0, 1, 1, 0, 0, 1, 0, 0, 1)",616,962,639,1.2477229464728181,1.1851258324981524,1.3040321
202,"(0, 0, 1, 1, 0, 0, 1, 0, 1, 0)",491,860,653,1.362154346515503,1.4331553150147132,1.2910719
203,"(0, 0, 1, 1, 0, 0, 1, 0, 1, 1)",357,380,239,0.8648049473060809,0.7486326169911135,1.2999609
204,"(0, 0, 1, 1, 0, 0, 1, 1, 0, 0)",1081,1824,1348,1.3253073651902454,1.3690790768511516,1.2883639
205,"(0, 0, 1, 1, 0, 0, 1, 1, 0, 1)",842,1228,846,1.1795277101442598,1.1532604167000216,1.2986271
206,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 0)",654,877,635,1.0955499165799452,1.1190900077546928,1.270297
207,"(0, 0, 1, 1, 0, 0, 1, 1, 1, 1)",586,539,435,0.719082878310304,0.8511441035707605,1.289684
208,"(0, 0, 1, 1, 0, 1, 0, 0, 0, 0)",1317,348,264,-0.526260234279945,-0.4556142090264077,-0.4341216
209,"(0, 0, 1, 1, 0, 1, 0, 0, 0, 1)",1087,506,297,0.03895313475537565,-0.14647626086066068,-0.13040167
210,"(0, 0, 1, 1, 0, 1, 0, 0, 1, 0)",791,166,99,-0.7540290208175904,-0.920864525776512,-0.61938643
211,"(0, 0, 1, 1, 0, 1, 0, 0, 1, 1)",627,192,157,-0.3773114189832327,-0.2314184533914092,-0.40963435
212,"(0, 0, 1, 1, 0, 1, 0, 1, 0, 0)",1732,420,299,-0.6124378974531444,-0.6053001350095824,-0.6502993
213,"(0, 0, 1, 1, 0, 1, 0, 1, 0, 1)",1315,316,185,-0.6209117794279015,-0.8080787581222386,-0.4605962
