,seq,ni,no1,no2,F1_emp,F2_emp,F1_model,F2_model
39,"(0, 0, 0, 0, 1, 0, 0, 1, 1, 1)",71,28,5,-0.1068317304495009,-1.3363799697381777,-0.1033174768181106,-0.1283560576768648
40,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 0)",62,42,31,0.42060394788211014,0.47112785645801647,0.8696075978917069,1.0224070578185467
41,"(0, 0, 0, 0, 1, 0, 1, 0, 0, 1)",36,90,67,1.702480152452706,1.7571164725817048,1.0630011047455792,1.319202675315548
42,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 0)",38,21,29,0.23001936580874982,0.8861624155823316,0.9565468522389501,1.1311200985491225
43,"(0, 0, 0, 0, 1, 0, 1, 0, 1, 1)",29,38,53,1.0649028230475714,1.7363133449519417,1.1708446244044959,1.2905841852303443
44,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 0)",75,95,73,1.0361534097615854,1.1218584329676613,0.5522016594872531,0.8044099193021916
45,"(0, 0, 0, 0, 1, 0, 1, 1, 0, 1)",33,53,41,1.2651620805281933,1.3598357737170295,0.6140768084234369,0.9060649396026164
46,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 0)",20,21,27,0.8490585742149733,1.4362087525016034,0.5407985452923438,0.7855852241317978
47,"(0, 0, 0, 0, 1, 0, 1, 1, 1, 1)",26,40,21,1.2202737592800592,0.9437322674038093,0.5997716474670235,0.7744767925250562
48,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 0)",74,18,5,-0.5705105757897895,-1.377201964258433,-0.7134409495465995,-0.7657653700016895
49,"(0, 0, 0, 0, 1, 1, 0, 0, 0, 1)",111,43,47,-0.13177067879675297,0.30122881966261894,0.041245573695799724,0.11015792326701629
50,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 0)",61,67,10,0.8949118787110955,-0.5807124321968984,-0.8714625367273708,-0.9533209783063943
51,"(0, 0, 0, 0, 1, 1, 0, 0, 1, 1)",63,26,4,-0.06050765877526243,-1.4009184908757488,0.011314205806560835,-0.06751420850238296
52,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 0)",131,34,17,-0.5249153025168769,-0.8439034846403837,-1.0408904302467232,-0.9479233362244437
53,"(0, 0, 0, 0, 1, 1, 0, 1, 0, 1)",109,28,23,-0.5306459772258618,-0.373899855394648,-0.9024635038159072,-0.6288734226228515
54,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 0)",99,27,22,-0.47042711723280695,-0.32114929000911907,-1.2257639057470666,-1.2387198746468049
55,"(0, 0, 0, 0, 1, 1, 0, 1, 1, 1)",97,15,14,-1.0098401978507103,-0.7283905975185392,-0.9830530720978962,-0.8852184056012934
56,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 0)",75,53,27,0.4607892648580237,0.14999784993869536,0.4433397624389414,0.3018349794721316
57,"(0, 0, 0, 0, 1, 1, 1, 0, 0, 1)",47,57,37,0.9917805582186088,0.9149118288683173,0.6853256724561057,0.7347494456288411
58,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 0)",43,51,47,0.9695926432432467,1.2355380570394523,0.5383842402391563,0.45718026985472143
59,"(0, 0, 0, 0, 1, 1, 1, 0, 1, 1)",32,51,25,1.2572747156950275,0.9101156566048244,0.8257587662773636,0.7783141923998775
60,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 0)",136,81,20,0.28927688001620866,-0.7269318080548792,0.1789067447155019,0.09412297782449625
61,"(0, 0, 0, 0, 1, 1, 1, 1, 0, 1)",103,27,32,-0.5096478303860883,0.0006433423749301337,0.05472274077410905,0.1372756852455252
62,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 0)",53,24,14,0.03243033688400676,-0.13240716541224162,0.20852643612820854,0.11979867864076932
63,"(0, 0, 0, 0, 1, 1, 1, 1, 1, 1)",48,41,22,0.648387878752822,0.3922005978683457,0.10592473613468034,0.0757389213588585
64,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 0)",544,396,252,0.4856890446040267,0.3811303741140988,0.2893374616037107,0.25850084269419876
65,"(0, 0, 0, 1, 0, 0, 0, 0, 0, 1)",466,659,362,1.1484491359316542,0.896600256645776,0.7981246979016163,0.7405469385725254
66,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 0)",386,259,114,0.4047954965658263,-0.06496588461670916,0.1134692400665579,0.06399805989392854
67,"(0, 0, 0, 1, 0, 0, 0, 0, 1, 1)",235,286,172,0.9981889693140915,0.8379864695219916,0.6961058705424462,0.597352988702624
68,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",647,589,345,0.7087703991275709,0.5210747587552722,0.3420395717470002,0.32663098126365314
69,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 1)",598,634,428,0.8609019593573226,0.8147220008623903,0.5819870537078671,0.5692910099434537
70,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",606,180,135,-0.4074932012135921,-0.3473472252736236,0.12005684070434207,0.09006414403312894
71,"(0, 0, 0, 1, 0, 0, 0, 1, 1, 1)",433,409,300,0.745651184178029,0.7825924106982936,0.4100474047700132,0.4086010845519118
72,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 0)",347,584,377,1.3219479260374625,1.231218395894936,1.182837245539453,1.257398116480276
73,"(0, 0, 0, 1, 0, 0, 1, 0, 0, 1)",424,637,538,1.2087876730004534,1.386153082034403,1.2528775361744864,1.3514537438857712
74,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 0)",291,420,370,1.16841758999418,1.387974940388976,1.1408202241212348,1.2466525666159682
75,"(0, 0, 0, 1, 0, 0, 1, 0, 1, 1)",271,353,297,1.0660334054178575,1.23981810025923,1.2020083056637614,1.2703530068049733
76,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 0)",604,1081,761,1.3838765599556657,1.3792447777056274,1.095950004520461,1.285573782663231
77,"(0, 0, 0, 1, 0, 0, 1, 1, 0, 1)",541,840,674,1.2418642171133822,1.367973369482706,1.1472402236714816,1.3073549638016324
78,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 0)",451,726,556,1.2777828562813687,1.3574097401448755,0.9692455755288018,1.2063355189200093
79,"(0, 0, 0, 1, 0, 0, 1, 1, 1, 1)",418,615,444,1.1879146021914626,1.208730042293925,0.9878772735141371,1.1823295917505343
80,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 0)",656,162,101,-0.5913952590977678,-0.7141845251505168,-0.4513640763568676,-0.5114064820452269
81,"(0, 0, 0, 1, 0, 1, 0, 0, 0, 1)",576,308,203,0.17803756896972633,0.10880440738593955,0.1368087397655813,0.0815841183252306
82,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 0)",544,135,66,-0.5855923503471117,-0.9475664952224552,-0.688584279316385,-0.7149294538182176
83,"(0, 0, 0, 1, 0, 1, 0, 0, 1, 1)",529,189,114,-0.2233143758056011,-0.37941819813309485,-0.0020777183065845,-0.04507903331316497
84,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",1161,359,164,-0.36925534738162047,-0.8034257834614533,-0.7250685783385531,-0.7794970285022648
85,"(0, 0, 0, 1, 0, 1, 0, 1, 0, 1)",914,275,133,-0.3959846409782908,-0.7725575852747872,-0.6403870725940125,-0.6205136568694374
86,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 0)",758,166,122,-0.7114694063987945,-0.6712907419733898,-0.9754857086489317,-1.0272159083708565
87,"(0, 0, 0, 1, 0, 1, 0, 1, 1, 1)",640,145,51,-0.6768842766322531,-1.3632590582894202,-0.8162767700902174,-0.7668046376948204
88,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 0)",685,616,357,0.696529954759583,0.4981820387246376,0.816898642268225,0.6996393938439143
89,"(0, 0, 0, 1, 0, 1, 1, 0, 0, 1)",545,930,543,1.3361788601122424,1.1448569511608602,0.9766429984741409,0.9247728239414312
90,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 0)",373,441,281,0.9695926432432467,0.8661779535734042,0.7693111043647863,0.7075521351746944
91,"(0, 0, 0, 1, 0, 1, 1, 0, 1, 1)",288,440,259,1.2251567459144943,1.042781622952918,0.9446876021875643,0.8878813652599478
92,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 0)",837,1018,577,0.9980974913207221,0.7770824482401171,0.6504799928303614,0.5497651608409806
93,"(0, 0, 0, 1, 0, 1, 1, 1, 0, 1)",799,726,414,0.7068533084456724,0.4921934726125937,0.5568227215113952,0.5080029831323005
94,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 0)",642,825,517,1.0529886078634392,0.9323571980716863,0.5511226295081256,0.48705333462749995
95,"(0, 0, 0, 1, 0, 1, 1, 1, 1, 1)",483,587,289,0.9971805997620755,0.6363226963137106,0.44929118773284327,0.42505503581516973
96,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 0)",54,16,19,-0.3715812825961744,0.13692576837134274,0.11846037169256456,0.1865505049074884
97,"(0, 0, 0, 1, 1, 0, 0, 0, 0, 1)",44,61,67,1.1230104538548522,1.5613718954556095,0.808946672462209,0.7684848632712796
98,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 0)",16,5,4,-0.2389153162480806,-0.07524875157229305,-0.07914352691734963,0.009366167745511595
99,"(0, 0, 0, 1, 1, 0, 0, 0, 1, 1)",17,27,16,1.2443713108591197,1.091368266209874,0.6938310092716616,0.5348923271274696
100,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 0)",82,35,28,-0.03278311076040752,0.09698190223969871,-0.07664381696728481,0.06873201459806604
101,"(0, 0, 0, 1, 1, 0, 0, 1, 0, 1)",48,16,27,-0.25606839547433013,0.5889108921143998,0.2966431219698709,0.36378355604220164
102,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 0)",51,14,14,-0.4406549588991371,-0.09466683742939486,-0.31470632503040774,-0.17907508468792738
103,"(0, 0, 0, 1, 1, 0, 0, 1, 1, 1)",57,31,18,0.2078314508333876,0.03252264866984378,0.11726253725293653,0.08413633668298884
104,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 0)",22,80,69,2.0614934973233696,2.261527706170032,1.0944592173578185,1.2654814157705678
105,"(0, 0, 0, 1, 1, 0, 1, 0, 0, 1)",53,69,54,1.062049754065165,1.1668758187180193,1.3648158645873192,1.4839623318822976
106,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 0)",22,113,102,2.403242791045426,2.647761452350309,1.0999064961156682,1.3514206999635388
107,"(0, 0, 0, 1, 1, 0, 1, 0, 1, 1)",28,27,24,0.7674472387688103,1.0001066749315493,1.370049775494046,1.3918293969465765
108,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 0)",78,48,49,0.32491100422368546,0.6911018330109473,0.7751948182762389,1.0466643651621248
109,"(0, 0, 0, 1, 1, 0, 1, 1, 0, 1)",16,20,6,1.0138476522472875,0.2612234850489198,0.9784417865262773,1.1453740852856316
110,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 0)",12,16,7,1.0708025451747598,0.6630188642681218,0.7016105895129441,1.035552227782419
111,"(0, 0, 0, 1, 1, 0, 1, 1, 1, 1)",11,37,12,1.9552180685184657,1.228569387723359,0.8808378778386812,0.9807578076858477
112,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 0)",53,18,5,-0.24200650881775343,-1.048697897286397,-0.6245351835497253,-0.6139940401140211
113,"(0, 0, 0, 1, 1, 1, 0, 0, 0, 1)",104,30,14,-0.41743458709229664,-0.7973834690054908,0.10909861435510385,0.12707887822377267
114,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 0)",41,8,5,-0.7379064823670687,-0.7973834690054908,-0.9017473137356604,-0.8242334995050336
115,"(0, 0, 0, 1, 1, 1, 0, 0, 1, 1)",93,27,14,-0.40855171351471964,-0.6867179011179712,-0.06114092970209575,-0.11401779294484643
116,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 0)",77,19,6,-0.5584379945555205,-1.2622719975844556,-0.9854484946243761,-0.8752757886478724
117,"(0, 0, 0, 1, 1, 1, 0, 1, 0, 1)",31,28,40,0.7040984857668279,1.3963628439544038,-0.8036656145929051,-0.6157068487688382
118,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 0)",42,5,12,-1.166902087885427,-0.047724078182203034,-1.2702016521088753,-1.1582698638282478
119,"(0, 0, 0, 1, 1, 1, 0, 1, 1, 1)",52,25,1,0.09034318304944056,-2.128618052942354,-1.005252498021847,-0.9049900568182067
120,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 0)",42,48,32,0.9331587409971446,0.8838341258227405,0.6460766600582035,0.5719842966381576
121,"(0, 0, 0, 1, 1, 1, 1, 0, 0, 1)",48,51,23,0.8619619790508812,0.43476021228714157,0.9698992901692283,0.9697370709237811
122,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 0)",20,8,6,-0.044759301807123286,0.04991439138171283,0.6276971721771765,0.6525469387699013
123,"(0, 0, 0, 1, 1, 1, 1, 0, 1, 1)",24,46,39,1.433810335421938,1.6185303092955583,0.9757907851464471,0.8977784811310596
124,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 0)",71,70,37,0.7885523166053405,0.5094467207601531,0.40787834226792574,0.3678747736458895
125,"(0, 0, 0, 1, 1, 1, 1, 1, 0, 1)",82,57,30,0.44414096132990183,0.16367327673837084,0.42993973735861835,0.45123519040418647
126,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 0)",52,47,18,0.7034476559358495,0.12267374566414113,0.3433849290203981,0.3492541405396097
127,"(0, 0, 0, 1, 1, 1, 1, 1, 1, 1)",28,13,15,0.07430005820886498,0.5538195723031298,0.36591099489615864,0.30466140428205474
128,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",1340,743,544,0.21340871013149387,0.24814159143138814,0.007460975023690608,0.043858399403736516
129,"(0, 0, 1, 0, 0, 0, 0, 0, 0, 1)",1172,1228,748,0.8491748194926398,0.6999458149135667,0.5959508086418843,0.5741613856263936
130,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 0)",766,293,197,-0.1563684754484942,-0.2056930906228982,-0.1869046972841501,-0.20050953920400671
131,"(0, 0, 1, 0, 0, 0, 0, 0, 1, 1)",805,897,488,0.9106248843756517,0.6488054270180663,0.4933290827851197,0.38735435113877564
132,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0)",1754,1269,777,0.47908660213275117,0.3350290683282481,0.22517018888447932,0.2220222360784345
133,"(0, 0, 1, 0, 0, 0, 0, 1, 0, 1)",1677,1526,955,0.7082409767715614,0.5859267060740724,0.42585678799116944,0.41099701721408566
134,"(0, 0, 1, 0, 0, 0, 0, 1, 1, 0)",1339,463,324,-0.25800178213862135,-0.2680730305653969,-0.04349665719452833,-0.10466516040279587
135,"(0, 0, 1, 0, 0, 0, 0, 1, 1, 1)",1109,670,476,0.2991924012453824,0.303927876631784,0.2251275762900599,0.16643860376159414
136,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 0)",1170,1863,1138,1.2674051902278995,1.1208192798992875,0.9906617196318998,1.052954536672641
137,"(0, 0, 1, 0, 0, 0, 1, 0, 0, 1)",949,1345,1046,1.150969084190167,1.245748906325773,1.0565924250517915,1.1356254749381056
138,"(0, 0, 1, 0, 0, 0, 1, 0, 1, 0)",741,1140,759,1.2328496652747756,1.172495870162819,0.9966689191346091,1.087648676266267
139,"(0, 0, 1, 0, 0, 0, 1, 0, 1, 1)",575,808,488,1.1422298149426808,0.9847815088288034,1.0716419677350875,1.106216498504998
140,"(0, 0, 1, 0, 0, 0, 1, 1, 0, 0)",1773,2236,1692,1.034437357200685,1.101791899313433,1.0256793766170698,1.169532659235026
141,"(0, 0, 1, 0, 0, 0, 1, 1, 0, 1)",1287,1688,1120,1.0735845687235814,1.0096571964576835,0.9538965303784841,1.0779870133449172
142,"(0, 0, 1, 0, 0, 0, 1, 1, 1, 0)",1012,1703,1323,1.322600761720658,1.4162679122980926,0.9188125042806763,1.0954786815065047
143,"(0, 0, 1, 0, 0, 0, 1, 1, 1, 1)",936,1164,863,1.0203316423414592,1.067416166615456,0.8322656891494988,0.9643979984982763
144,"(0, 0, 1, 0, 0, 1, 0, 0, 0, 0)",1986,519,324,-0.5380138723962635,-0.6620293801722568,-0.7841616570907355,-0.7016346288894985
145,"(0, 0, 1, 0, 0, 1, 0, 0, 0, 1)",1609,616,412,-0.15658187549304037,-0.21201518496765326,-0.13183509258812343,-0.12527575127117668
146,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 0)",1393,301,186,-0.7269670153655192,-0.8602972944160601,-1.014113461101194,-0.9278815446809017
147,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 1)",1132,318,212,-0.46489459966308133,-0.5228054152687587,-0.2455585994381367,-0.2684107757382282
148,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 0)",2972,734,492,-0.5949177652051807,-0.6482909689055851,-0.9083431452101909,-0.8385469612352762
149,"(0, 0, 1, 0, 0, 1, 0, 1, 0, 1)",2554,575,386,-0.6871612833618332,-0.7388561295582003,-0.8784713712599518,-0.7981374502430645
150,"(0, 0, 1, 0, 0, 1, 0, 1, 1, 0)",2061,459,264,-0.6976666165136842,-0.9031751585408605,-1.179678540837172,-1.1492451885655133
151,"(0, 0, 1, 0, 0, 1, 0, 1, 1, 1)",1624,366,230,-0.6853626881291872,-0.8023187041922217,-1.0573847817996656,-1.0011557073403363
152,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 0)",1731,1439,904,0.6179048620277463,0.4994295346273684,0.4790665106620424,0.35609968854193996
153,"(0, 0, 1, 0, 0, 1, 1, 0, 0, 1)",1339,1456,842,0.8862484718303282,0.685068745106721,0.619152432712692,0.5049598164029608
154,"(0, 0, 1, 0, 0, 1, 1, 0, 1, 0)",1080,1009,588,0.7346023507761772,0.5413110460622009,0.505269043399278,0.43659333111971454
155,"(0, 0, 1, 0, 0, 1, 1, 0, 1, 1)",1092,1098,594,0.8080130248071632,0.5404065974189137,0.6788816593398833,0.5469013301582277
156,"(0, 0, 1, 0, 0, 1, 1, 1, 0, 0)",2193,2205,1177,0.8079931175583526,0.5266184034261792,0.4190686693730713,0.31577242792445304
157,"(0, 0, 1, 0, 0, 1, 1, 1, 0, 1)",1825,1169,766,0.3574145252169684,0.28113042026216495,0.18678948372437404,0.09579481009079666
158,"(0, 0, 1, 0, 0, 1, 1, 1, 1, 0)",1716,1130,670,0.38506217379872537,0.2089619561240289,0.3653147124258482,0.28538609951473354
159,"(0, 0, 1, 0, 0, 1, 1, 1, 1, 1)",1388,867,500,0.33239093048608676,0.12879343838034374,0.14275590859392825,0.051424431767183684
160,"(0, 0, 1, 0, 1, 0, 0, 0, 0, 0)",175,63,37,-0.2090623530983995,-0.3843711552619433,-0.3776268303255229,-0.4387579718635534
161,"(0, 0, 1, 0, 1, 0, 0, 0, 0, 1)",104,80,34,0.5430273630949958,0.04991439138171283,0.23029274071798997,0.18512938957142192
162,"(0, 0, 1, 0, 1, 0, 0, 0, 1, 0)",123,22,29,-0.8822487910958068,-0.27055750389305877,-0.5499449840860201,-0.6519346698256396
163,"(0, 0, 1, 0, 1, 0, 0, 0, 1, 1)",42,18,12,-0.014222577947041515,-0.047724078182203034,0.15835737464995295,-0.07820343618274095
164,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 0)",155,40,22,-0.5337453819651488,-0.7658351112705648,-0.36676807761515706,-0.46140588425762713
165,"(0, 0, 1, 0, 1, 0, 0, 1, 0, 1)",166,39,49,-0.6265757997227384,-0.05744412693878642,-0.19501134857859762,-0.22634347763078733
166,"(0, 0, 1, 0, 1, 0, 0, 1, 1, 0)",104,29,14,-0.45022440991528767,-0.7973834690054908,-0.6077315050945244,-0.7854607477869631
167,"(0, 0, 1, 0, 1, 0, 0, 1, 1, 1)",88,14,7,-0.9780476100498494,-1.2606681480024813,-0.359398300438683,-0.5759863900435861
168,"(0, 0, 1, 0, 1, 0, 1, 0, 0, 0)",73,83,94,0.9292902642192242,1.3983384784461936,0.795666132787069,0.8555165731358096
169,"(0, 0, 1, 0, 1, 0, 1, 0, 0, 1)",88,100,51,0.9290227056892001,0.6111340288991101,0.8996438677550088,1.0563089128343626
170,"(0, 0, 1, 0, 1, 0, 1, 0, 1, 0)",90,72,32,0.5821384932116216,0.13417473499945287,0.8929208280859511,1.0007683417940776
171,"(0, 0, 1, 0, 1, 0, 1, 0, 1, 1)",42,56,24,1.084389710721068,0.606202389224461,1.0145797474758613,1.0297405335536953
172,"(0, 0, 1, 0, 1, 0, 1, 1, 0, 0)",132,215,139,1.2874678380424915,1.1998199744373732,0.6392624693623671,0.7102388587169021
173,"(0, 0, 1, 0, 1, 0, 1, 1, 0, 1)",57,92,66,1.274695041186917,1.2927762888943692,0.5571670451763794,0.6893178645387524
174,"(0, 0, 1, 0, 1, 0, 1, 1, 1, 0)",125,222,111,1.373428423088721,1.030743644393439,0.629298992874443,0.7181838023592603
175,"(0, 0, 1, 0, 1, 0, 1, 1, 1, 1)",36,44,20,0.9982831357061757,0.5821312051290212,0.5410784410372477,0.5500107391507888
176,"(0, 0, 1, 0, 1, 1, 0, 0, 0, 0)",119,56,29,0.05809808363258451,-0.23776768107006796,-1.0206277194799545,-1.069504876586612
177,"(0, 0, 1, 0, 1, 1, 0, 0, 0, 1)",73,36,25,0.1093913780201351,0.102558124867135,-0.38510950024138185,-0.3513675682741
178,"(0, 0, 1, 0, 1, 1, 0, 0, 1, 0)",131,19,18,-1.0845310904522993,-0.7898362633701077,-1.2467882550967253,-1.288595484988673
179,"(0, 0, 1, 0, 1, 1, 0, 0, 1, 1)",111,32,8,-0.419452751248534,-1.3727476139090524,-0.48640289745632337,-0.5950633172640112
